"Mês/Ano";"Abrangência";"Quantidade";"%";
"Dezembro - 2010";"AC";"469.797";"0,347"
"";"AL";"2.028.709";"1,497"
"";"AM";"2.030.637";"1,498"
"";"AP";"420.450";"0,310"
"";"BA";"9.534.943";"7,035"
"";"CE";"5.869.943";"4,331"
"";"DF";"1.834.863";"1,354"
"";"ES";"2.519.079";"1,859"
"";"GO";"4.054.342";"2,991"
"";"MA";"4.319.896";"3,187"
"";"MG";"14.489.781";"10,690"
"";"MS";"1.698.648";"1,253"
"";"MT";"2.085.078";"1,538"
"";"PA";"4.766.611";"3,517"
"";"PB";"2.732.800";"2,016"
"";"PE";"6.247.525";"4,609"
"";"PI";"2.260.224";"1,668"
"";"PR";"7.584.579";"5,596"
"";"RJ";"11.556.465";"8,526"
"";"RN";"2.242.762";"1,655"
"";"RO";"1.077.186";"0,795"
"";"RR";"271.438";"0,200"
"";"RS";"8.087.116";"5,967"
"";"SC";"4.529.991";"3,342"
"";"SE";"1.423.227";"1,050"
"";"SP";"30.256.765";"22,323"
"";"TO";"947.269";"0,699"
"";"ZZ";"199.795";"0,147"
"Mês/Ano Total:";"";"135.539.919";""
"Total Geral";"";"135.539.919";""
