"Mês/Ano";"Abrangência";"Quantidade";"%";
"Outubro - 1989";"AC";"182.797";"0,223"
"";"AL";"1.210.797";"1,475"
"";"AM";"842.083";"1,026"
"";"AP";"118.144";"0,144"
"";"BA";"5.893.861";"7,181"
"";"CE";"3.351.606";"4,084"
"";"DF";"857.330";"1,045"
"";"ES";"1.407.759";"1,715"
"";"GO";"2.199.965";"2,680"
"";"MA";"2.144.352";"2,613"
"";"MG";"9.433.103";"11,493"
"";"MS";"1.002.232";"1,221"
"";"MT";"1.027.972";"1,252"
"";"PA";"2.186.852";"2,664"
"";"PB";"1.756.417";"2,140"
"";"PE";"3.764.143";"4,586"
"";"PI";"1.334.282";"1,626"
"";"PR";"5.045.626";"6,148"
"";"RJ";"8.196.547";"9,987"
"";"RN";"1.298.088";"1,582"
"";"RO";"557.781";"0,680"
"";"RR";"73.001";"0,089"
"";"RS";"5.700.461";"6,945"
"";"SC";"2.729.916";"3,326"
"";"SE";"776.071";"0,946"
"";"SP";"18.500.980";"22,542"
"";"TO";"464.060";"0,565"
"";"ZZ";"18.492";"0,023"
"Mês/Ano Total:";"";"82.074.718";""
"Total Geral";"";"82.074.718";""
